Gemeinde,category,Programm_Name,Anbieter,Website
9050,Beratung,Beratung Solarenergie,Kanton Appenzell Innerrhoden,https://energie-ar-ai.ch/cms/index.php/angebot/beratung-solarenergie-ar
9050,Beratung,Energieberatung,Kanton Appenzell Innerrhoden,https://energie-ar-ai.ch/cms/index.php/angebot/impulsberatung-heizungsersatz
9050,Beratung,Impulsberatung «erneuerbar heizen»,Bundesamt für Energie,https://erneuerbarheizen.ch/impulsberatung/
9050,Heizung,Anschluss an ein Wärmenetz,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9050,Heizung,Automatische Holzfeuerung ab 70 kW,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9050,Heizung,Automatische Holzfeuerung bis 70 kW,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9050,Heizung,"Holzheizungen (Pellets, Schnitzel, Stückholz – auf Abklärung auch weitere)",Energie Zukunft Schweiz AG,http://www.klimapraemie.ch 
9050,Heizung,Landwirtschaftliche Biogasanlagen,Genossenschaft Ökostrom Schweiz,https://oekostromschweiz.ch/news/detail/foerderungsregeln-auf-einen-blick
9050,Heizung,Luft-Wasser-Wärmepumpe,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9050,Heizung,Pelletheizungen,myclimate,https://www.myclimate.org/de/informieren/klimaschutzprojekte/detail-klimaschutzprojekte/schweiz-biomasse-7822/
9050,Heizung,Sole-Wasser-Wärmepumpe,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9050,Heizung,Stückholzfeuerung bis 70 kW,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9050,Heizung,"Wärmepumpen (Luft/Wasser, Wasser/Wasser, Sole/Wasser)",Energie Zukunft Schweiz AG,http://www.klimapraemie.ch
9050,Heizung,Wärmepumpen Mehrfamilienhäuser (15 bis 400 kW),myclimate,https://www.myclimate.org/de/informieren/klimaschutzprojekte/detail-klimaschutzprojekte/schweiz-foerderprogramm-waermepumpen-7828/
9050,Heizung,Wärmeverbund,Stiftung KliK,http://www.waermeverbuende.klik.ch
9050,Warmwasser,Thermische Solaranlagen,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9050,Warmwasser,Wassersparende Duschbrausen,myclimate,https://schlauer-shower.ch/sinum
9050,Gebäudehülle Sanierung,Bonus Gebäudehülleneffizienz,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9050,Gebäudehülle Sanierung,Gesamtsanierung mit GEAK,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9050,Gebäudehülle Sanierung,Gesamtsanierung mit Minergie-Zertifikat,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9050,Gebäudehülle Sanierung,Wärmedämmung (Einzelbauteile),Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9050,Neubau,Neubau oder Ersatzneubau GEAK A/A,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9050,Neubau,Neubau oder Ersatzneubau Minergie-P,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9050,Stromerzeugung,Photovoltaik,Pronovo,https://www.local-energy.swiss/infobox/sonderaktion-machbarkeitsstudie-pv.html#/
9050,"Geräte, Beleuchtung",Hand-dryers.ch: elektrische Händetrockner,Hand-dryers.ch,https://www.hand-dryers.ch/home.html
9050,"Geräte, Beleuchtung",SALVALUCE Plus: Beleuchtungserneuerung von Wohnbauten,Savenergy Light Solutions GmbH,https://www.salvaluce.ch/
9050,"Geräte, Beleuchtung",smart-dry.ch: Effiziente Entfeuchtungsgeräte,smart-dry.ch,http://www.smart-dry.ch
9050,Lüftung,Installation Wohnungslüftung,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9050,Lüftung,Optivent: Effizientere Lüftungen,Energie Zukunft Schweiz AG,http://www.energiezukunftschweiz.ch/de/themen/lueftungen-foerderprogramm/lueftungen-foerderprogramm.php
9050,Steuerabzüge,Abzüge für energetische Sanierungen,Steuerverwaltung Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/steuern/publikationen
9413,Beratung,Beratung Solarenergie,Kanton Appenzell Innerrhoden,https://energie-ar-ai.ch/cms/index.php/angebot/beratung-solarenergie-ar
9413,Beratung,Energieberatung,Kanton Appenzell Innerrhoden,https://energie-ar-ai.ch/cms/index.php/angebot/impulsberatung-heizungsersatz
9413,Beratung,Impulsberatung «erneuerbar heizen»,Bundesamt für Energie,https://erneuerbarheizen.ch/impulsberatung/
9413,Heizung,Anschluss an ein Wärmenetz,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9413,Heizung,Automatische Holzfeuerung ab 70 kW,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9413,Heizung,Automatische Holzfeuerung bis 70 kW,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9413,Heizung,"Holzheizungen (Pellets, Schnitzel, Stückholz – auf Abklärung auch weitere)",Energie Zukunft Schweiz AG,http://www.klimapraemie.ch 
9413,Heizung,Landwirtschaftliche Biogasanlagen,Genossenschaft Ökostrom Schweiz,https://oekostromschweiz.ch/news/detail/foerderungsregeln-auf-einen-blick
9413,Heizung,Luft-Wasser-Wärmepumpe,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9413,Heizung,Pelletheizungen,myclimate,https://www.myclimate.org/de/informieren/klimaschutzprojekte/detail-klimaschutzprojekte/schweiz-biomasse-7822/
9413,Heizung,Sole-Wasser-Wärmepumpe,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9413,Heizung,Stückholzfeuerung bis 70 kW,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9413,Heizung,"Wärmepumpen (Luft/Wasser, Wasser/Wasser, Sole/Wasser)",Energie Zukunft Schweiz AG,http://www.klimapraemie.ch
9413,Heizung,Wärmepumpen Mehrfamilienhäuser (15 bis 400 kW),myclimate,https://www.myclimate.org/de/informieren/klimaschutzprojekte/detail-klimaschutzprojekte/schweiz-foerderprogramm-waermepumpen-7828/
9413,Heizung,Wärmeverbund,Stiftung KliK,http://www.waermeverbuende.klik.ch
9413,Warmwasser,Thermische Solaranlagen,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9413,Warmwasser,Wassersparende Duschbrausen,myclimate,https://schlauer-shower.ch/sinum
9413,Gebäudehülle Sanierung,Bonus Gebäudehülleneffizienz,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9413,Gebäudehülle Sanierung,Gesamtsanierung mit GEAK,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9413,Gebäudehülle Sanierung,Gesamtsanierung mit Minergie-Zertifikat,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9413,Gebäudehülle Sanierung,Wärmedämmung (Einzelbauteile),Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9413,Neubau,Neubau oder Ersatzneubau GEAK A/A,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9413,Neubau,Neubau oder Ersatzneubau Minergie-P,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9413,Stromerzeugung,Photovoltaik,Pronovo,https://www.local-energy.swiss/infobox/sonderaktion-machbarkeitsstudie-pv.html#/
9413,"Geräte, Beleuchtung",Hand-dryers.ch: elektrische Händetrockner,Hand-dryers.ch,https://www.hand-dryers.ch/home.html
9413,"Geräte, Beleuchtung",SALVALUCE Plus: Beleuchtungserneuerung von Wohnbauten,Savenergy Light Solutions GmbH,https://www.salvaluce.ch/
9413,"Geräte, Beleuchtung",smart-dry.ch: Effiziente Entfeuchtungsgeräte,smart-dry.ch,http://www.smart-dry.ch
9413,Lüftung,Installation Wohnungslüftung,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9413,Lüftung,Optivent: Effizientere Lüftungen,Energie Zukunft Schweiz AG,http://www.energiezukunftschweiz.ch/de/themen/lueftungen-foerderprogramm/lueftungen-foerderprogramm.php
9413,Steuerabzüge,Abzüge für energetische Sanierungen,Steuerverwaltung Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/steuern/publikationen
9108,Beratung,Beratung Solarenergie,Kanton Appenzell Innerrhoden,https://energie-ar-ai.ch/cms/index.php/angebot/beratung-solarenergie-ar
9108,Beratung,Energieberatung,Kanton Appenzell Innerrhoden,https://energie-ar-ai.ch/cms/index.php/angebot/impulsberatung-heizungsersatz
9108,Beratung,Impulsberatung «erneuerbar heizen»,Bundesamt für Energie,https://erneuerbarheizen.ch/impulsberatung/
9108,Heizung,Anschluss an ein Wärmenetz,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9108,Heizung,Automatische Holzfeuerung ab 70 kW,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9108,Heizung,Automatische Holzfeuerung bis 70 kW,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9108,Heizung,"Holzheizungen (Pellets, Schnitzel, Stückholz – auf Abklärung auch weitere)",Energie Zukunft Schweiz AG,http://www.klimapraemie.ch 
9108,Heizung,Landwirtschaftliche Biogasanlagen,Genossenschaft Ökostrom Schweiz,https://oekostromschweiz.ch/news/detail/foerderungsregeln-auf-einen-blick
9108,Heizung,Luft-Wasser-Wärmepumpe,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9108,Heizung,Pelletheizungen,myclimate,https://www.myclimate.org/de/informieren/klimaschutzprojekte/detail-klimaschutzprojekte/schweiz-biomasse-7822/
9108,Heizung,Sole-Wasser-Wärmepumpe,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9108,Heizung,Stückholzfeuerung bis 70 kW,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9108,Heizung,"Wärmepumpen (Luft/Wasser, Wasser/Wasser, Sole/Wasser)",Energie Zukunft Schweiz AG,http://www.klimapraemie.ch
9108,Heizung,Wärmepumpen Mehrfamilienhäuser (15 bis 400 kW),myclimate,https://www.myclimate.org/de/informieren/klimaschutzprojekte/detail-klimaschutzprojekte/schweiz-foerderprogramm-waermepumpen-7828/
9108,Heizung,Wärmeverbund,Stiftung KliK,http://www.waermeverbuende.klik.ch
9108,Warmwasser,Thermische Solaranlagen,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9108,Warmwasser,Wassersparende Duschbrausen,myclimate,https://schlauer-shower.ch/sinum
9108,Gebäudehülle Sanierung,Bonus Gebäudehülleneffizienz,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9108,Gebäudehülle Sanierung,Gesamtsanierung mit GEAK,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9108,Gebäudehülle Sanierung,Gesamtsanierung mit Minergie-Zertifikat,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9108,Gebäudehülle Sanierung,Wärmedämmung (Einzelbauteile),Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9108,Neubau,Neubau oder Ersatzneubau GEAK A/A,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9108,Neubau,Neubau oder Ersatzneubau Minergie-P,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9108,Stromerzeugung,Photovoltaik,Pronovo,https://www.local-energy.swiss/infobox/sonderaktion-machbarkeitsstudie-pv.html#/
9108,"Geräte, Beleuchtung",Hand-dryers.ch: elektrische Händetrockner,Hand-dryers.ch,https://www.hand-dryers.ch/home.html
9108,"Geräte, Beleuchtung",SALVALUCE Plus: Beleuchtungserneuerung von Wohnbauten,Savenergy Light Solutions GmbH,https://www.salvaluce.ch/
9108,"Geräte, Beleuchtung",smart-dry.ch: Effiziente Entfeuchtungsgeräte,smart-dry.ch,http://www.smart-dry.ch
9108,Lüftung,Installation Wohnungslüftung,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9108,Lüftung,Optivent: Effizientere Lüftungen,Energie Zukunft Schweiz AG,http://www.energiezukunftschweiz.ch/de/themen/lueftungen-foerderprogramm/lueftungen-foerderprogramm.php
9108,Steuerabzüge,Abzüge für energetische Sanierungen,Steuerverwaltung Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/steuern/publikationen
9057,Beratung,Beratung Solarenergie,Kanton Appenzell Innerrhoden,https://energie-ar-ai.ch/cms/index.php/angebot/beratung-solarenergie-ar
9057,Beratung,Energieberatung,Kanton Appenzell Innerrhoden,https://energie-ar-ai.ch/cms/index.php/angebot/impulsberatung-heizungsersatz
9057,Beratung,Impulsberatung «erneuerbar heizen»,Bundesamt für Energie,https://erneuerbarheizen.ch/impulsberatung/
9057,Heizung,Anschluss an ein Wärmenetz,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9057,Heizung,Automatische Holzfeuerung ab 70 kW,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9057,Heizung,Automatische Holzfeuerung bis 70 kW,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9057,Heizung,"Holzheizungen (Pellets, Schnitzel, Stückholz – auf Abklärung auch weitere)",Energie Zukunft Schweiz AG,http://www.klimapraemie.ch 
9057,Heizung,Landwirtschaftliche Biogasanlagen,Genossenschaft Ökostrom Schweiz,https://oekostromschweiz.ch/news/detail/foerderungsregeln-auf-einen-blick
9057,Heizung,Luft-Wasser-Wärmepumpe,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9057,Heizung,Pelletheizungen,myclimate,https://www.myclimate.org/de/informieren/klimaschutzprojekte/detail-klimaschutzprojekte/schweiz-biomasse-7822/
9057,Heizung,Sole-Wasser-Wärmepumpe,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9057,Heizung,Stückholzfeuerung bis 70 kW,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9057,Heizung,"Wärmepumpen (Luft/Wasser, Wasser/Wasser, Sole/Wasser)",Energie Zukunft Schweiz AG,http://www.klimapraemie.ch
9057,Heizung,Wärmepumpen Mehrfamilienhäuser (15 bis 400 kW),myclimate,https://www.myclimate.org/de/informieren/klimaschutzprojekte/detail-klimaschutzprojekte/schweiz-foerderprogramm-waermepumpen-7828/
9057,Heizung,Wärmeverbund,Stiftung KliK,http://www.waermeverbuende.klik.ch
9057,Warmwasser,Thermische Solaranlagen,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9057,Warmwasser,Wassersparende Duschbrausen,myclimate,https://schlauer-shower.ch/sinum
9057,Gebäudehülle Sanierung,Bonus Gebäudehülleneffizienz,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9057,Gebäudehülle Sanierung,Gesamtsanierung mit GEAK,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9057,Gebäudehülle Sanierung,Gesamtsanierung mit Minergie-Zertifikat,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9057,Gebäudehülle Sanierung,Wärmedämmung (Einzelbauteile),Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9057,Neubau,Neubau oder Ersatzneubau GEAK A/A,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9057,Neubau,Neubau oder Ersatzneubau Minergie-P,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9057,Stromerzeugung,Photovoltaik,Pronovo,https://www.local-energy.swiss/infobox/sonderaktion-machbarkeitsstudie-pv.html#/
9057,"Geräte, Beleuchtung",Hand-dryers.ch: elektrische Händetrockner,Hand-dryers.ch,https://www.hand-dryers.ch/home.html
9057,"Geräte, Beleuchtung",SALVALUCE Plus: Beleuchtungserneuerung von Wohnbauten,Savenergy Light Solutions GmbH,https://www.salvaluce.ch/
9057,"Geräte, Beleuchtung",smart-dry.ch: Effiziente Entfeuchtungsgeräte,smart-dry.ch,http://www.smart-dry.ch
9057,Lüftung,Installation Wohnungslüftung,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9057,Lüftung,Optivent: Effizientere Lüftungen,Energie Zukunft Schweiz AG,http://www.energiezukunftschweiz.ch/de/themen/lueftungen-foerderprogramm/lueftungen-foerderprogramm.php
9057,Steuerabzüge,Abzüge für energetische Sanierungen,Steuerverwaltung Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/steuern/publikationen
